NOMBRE;TIPO_GESTION;ESTADO_LICENCIAMIENTO;PERIODO_LICENCIAMIENTO;DEPARTAMENTO_LOCAL;PROVINCIA_LOCAL;DISTRITO_LOCAL;LATITUD_UBICACION;LONGITUD_UBICACION
UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.;PRIVADO;LICENCIA DENEGADA;0;PUNO;PUNO;PUNO;-15,8395008;-70,0295166
UNIVERSIDAD NACIONAL DE CAJAMARCA;P�BLICO;LICENCIA OTORGADA;6;CAJAMARCA;CAJAMARCA;CAJAMARCA;-7,167193596;-78,49652308
UNIVERSIDAD CONTINENTAL S.A.C.;PRIVADO;LICENCIA OTORGADA;6;JUN�N;HUANCAYO;HUANCAYO;-12,04773072;-75,19874451
UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;ATE;-12,0211306;-76,9037173
UNIVERSIDAD LE CORDON BLEU S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;MAGDALENA DEL MAR;-12,0985893;-77,05636
UNIVERSIDAD PERUANA LOS ANDES;PRIVADO;LICENCIA OTORGADA;6;JUN�N;HUANCAYO;HUANCAYO;-12,0400383;-75,1924434
UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;CHORRILLOS;-12,19647398;-77,0055825
UNIVERSIDAD NACIONAL DE INGENIER�A;P�BLICO;LICENCIA OTORGADA;10;LIMA;LIMA;R�MAC;-12,02373883;-77,04837621
UNIVERSIDAD PERUANA UNI�N;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LURIGANCHO;-11,989087;-76,839662
UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;SAN BORJA;-12,1108862;-76,9912619
UNIVERSIDAD DE LIMA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO;-12,0839637;-76,97064472
UNIVERSIDAD NACIONAL DE SAN AGUST�N DE AREQUIPA;P�BLICO;LICENCIA OTORGADA;10;AREQUIPA;AREQUIPA;AREQUIPA;-16,403293;-71,52488856
UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CUSCO;CUSCO;CUSCO;-13,5242195;-71,9436937
UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN;P�BLICO;LICENCIA OTORGADA;6;TACNA;TACNA;TACNA;-18,0251828;-70,2505031
UNIVERSIDAD PRIVADA TELESUP S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LIMA;-12,0640089;-77,0345749
UNIVERSIDAD MAR�TIMA DEL PER� S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CALLAO;PROV. CONST. DEL CALLAO;CALLAO;-12,0614969;-77,1471769
UNIVERSIDAD SEMINARIO B�BLICO ANDINO;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;PUEBLO LIBRE;-12,0696208;-77,0533978
UNIVERSIDAD C�SAR VALLEJO S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;-8,1293904;-79,0433213
UNIVERSIDAD NACIONAL AMAZ�NICA DE MADRE DE DIOS;P�BLICO;LICENCIA OTORGADA;6;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;-12,5885658;-69,2095274
GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;ICA;ICA;ICA;-14,0767829;-75,7338981
UNIVERSIDAD PERUANA CAYETANO HEREDIA;PRIVADO;LICENCIA OTORGADA;10;LIMA;LIMA;SAN MART�N DE PORRES;-12,02388414;-77,05635292
UNIVERSIDAD NACIONAL DE BARRANCA;P�BLICO;LICENCIA OTORGADA;6;LIMA;BARRANCA;BARRANCA;-10,7543002;-77,7582572
UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CUSCO;CUSCO;CUSCO;-13,52546307;-71,95167842
UNIVERSIDAD CAT�LICA DE TRUJILLO BENEDICTO XVI;PRIVADO;LICENCIA OTORGADA;6;LA LIBERTAD;TRUJILLO;MOCHE;-8,160289281;-79,0114454
UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APUR�MAC;P�BLICO;LICENCIA OTORGADA;6;APUR�MAC;ABANCAY;TAMBURCO;-13,61755584;-72,86815631
UNIVERSIDAD NACIONAL DE LA AMAZON�A PERUANA;P�BLICO;LICENCIA OTORGADA;8;LORETO;MAYNAS;SAN JUAN BAUTISTA;-3,76462148;-73,27088066
UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LA MOLINA;-12,07329192;-76,95384422
UNIVERSIDAD PRIVADA DE TACNA;PRIVADO;LICENCIA OTORGADA;6;TACNA;TACNA;POCOLLAY;-18,0058389;-70,2254838
UNIVERSIDAD PERUANA DE INVESTIGACI�N Y NEGOCIOS S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;JES�S MAR�A;-12,0825774;-77,0462745
PONTIFICIA UNIVERSIDAD CAT�LICA DEL PER�;PRIVADO;LICENCIA OTORGADA;10;LIMA;LIMA;SAN MIGUEL;-12,07149852;-77,07838661
UNIVERSIDAD PARTICULAR DE CHICLAYO;PRIVADO;LICENCIA DENEGADA;0;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6,790111;-79,8783334
UNIVERSIDAD DE HU�NUCO;PRIVADO;LICENCIA OTORGADA;6;HU�NUCO;HU�NUCO;HUANUCO;-9,928390564;-76,2370196
