NOMBRE;TIPO_GESTION;ESTADO_LICENCIAMIENTO;PERIODO_LICENCIAMIENTO;DEPARTAMENTO_LOCAL;PROVINCIA_LOCAL;DISTRITO_LOCAL
UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.;PRIVADO;LICENCIA DENEGADA;0;PUNO;PUNO;PUNO
UNIVERSIDAD NACIONAL DE CAJAMARCA;PÚBLICO;LICENCIA OTORGADA;6;CAJAMARCA;CAJAMARCA;CAJAMARCA
UNIVERSIDAD CONTINENTAL S.A.C.;PRIVADO;LICENCIA OTORGADA;6;JUNÍN;HUANCAYO;HUANCAYO
UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;ATE
UNIVERSIDAD LE CORDON BLEU S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;MAGDALENA DEL MAR
UNIVERSIDAD PERUANA LOS ANDES;PRIVADO;LICENCIA OTORGADA;6;JUNÍN;HUANCAYO;HUANCAYO
UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;CHORRILLOS
UNIVERSIDAD NACIONAL DE INGENIERÍA;PÚBLICO;LICENCIA OTORGADA;10;LIMA;LIMA;RÍMAC
UNIVERSIDAD PERUANA UNIÓN;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LURIGANCHO
UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;SAN BORJA
UNIVERSIDAD DE LIMA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA;PÚBLICO;LICENCIA OTORGADA;10;AREQUIPA;AREQUIPA;AREQUIPA
UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CUSCO;CUSCO;CUSCO
UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN;PÚBLICO;LICENCIA OTORGADA;6;TACNA;TACNA;TACNA
UNIVERSIDAD PRIVADA TELESUP S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LIMA
UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CALLAO;PROV. CONST. DEL CALLAO;CALLAO
UNIVERSIDAD SEMINARIO BÍBLICO ANDINO;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;PUEBLO LIBRE
UNIVERSIDAD CÉSAR VALLEJO S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA
UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS;PÚBLICO;LICENCIA OTORGADA;6;MADRE DE DIOS;TAMBOPATA;TAMBOPATA
GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;ICA;ICA;ICA
UNIVERSIDAD PERUANA CAYETANO HEREDIA;PRIVADO;LICENCIA OTORGADA;10;LIMA;LIMA;SAN MARTÍN DE PORRES
UNIVERSIDAD NACIONAL DE BARRANCA;PÚBLICO;LICENCIA OTORGADA;6;LIMA;BARRANCA;BARRANCA
UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CUSCO;CUSCO;CUSCO
UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI;PRIVADO;LICENCIA OTORGADA;6;LA LIBERTAD;TRUJILLO;MOCHE
UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC;PÚBLICO;LICENCIA OTORGADA;6;APURÍMAC;ABANCAY;TAMBURCO
UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA;PÚBLICO;LICENCIA OTORGADA;8;LORETO;MAYNAS;SAN JUAN BAUTISTA
UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LA MOLINA
UNIVERSIDAD PRIVADA DE TACNA;PRIVADO;LICENCIA OTORGADA;6;TACNA;TACNA;POCOLLAY
UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;JESÚS MARÍA
PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;PRIVADO;LICENCIA OTORGADA;10;LIMA;LIMA;SAN MIGUEL
UNIVERSIDAD PARTICULAR DE CHICLAYO;PRIVADO;LICENCIA DENEGADA;0;LAMBAYEQUE;CHICLAYO;PIMENTEL
UNIVERSIDAD DE HUÁNUCO;PRIVADO;LICENCIA OTORGADA;6;HUÁNUCO;HUÁNUCO;HUANUCO
UNIVERSIDAD RICARDO PALMA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;VILLA EL SALVADOR
UNIVERSIDAD PRIVADA DE TRUJILLO;PRIVADO;LICENCIA DENEGADA;0;LA LIBERTAD;TRUJILLO;LAREDO
UNIVERSIDAD ANDINA DEL CUSCO;PRIVADO;LICENCIA OTORGADA;6;CUSCO;CUSCO;SAN JERÓNIMO
UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.;PRIVADO;LICENCIA OTORGADA;6;JUNÍN;HUANCAYO;HUANCAYO
UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AREQUIPA;AREQUIPA;TIABAYA
UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CAJAMARCA;CAJAMARCA;CAJAMARCA
